net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge
1835843,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3354400,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3671686,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
4468482,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5261656,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5507529,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5314427,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6708801,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
7100758,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
7343372,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
5905916,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
7909454,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
8684211,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
8939835,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
9179216,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6363537,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
8936964,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
10063202,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
10523313,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
10778908,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
11015059,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6785695,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
9870435,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
11280747,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12106765,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12362415,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12617981,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12850902,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
7182347,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
10628854,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12447318,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
13417603,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
13945867,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
14201517,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
14457054,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
14686745,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
7558028,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
11331681,90000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
13405447,90000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
14651908,90000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
15529320,90000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
15784970,90000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
16040597,90000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
16296128,90000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
16522589,90000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
7909087,100000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
11811833,100000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
14340448,100000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
15818908,100000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
16772004,100000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
17368422,100000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
17624072,100000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
17879670,100000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
18135201,100000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
18358432,100000,100000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1835843,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
3354400,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
3671686,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
4468482,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
5261656,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
5507529,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
5314427,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
6708801,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
7100758,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
7343372,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
5905916,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
7909454,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
8684211,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
8939835,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
