net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge
14964479,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
25869930,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
29928959,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
33808836,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
41349100,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
44893439,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
39590727,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
51739860,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
56524260,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
59857919,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
44504180,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
60542234,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
67523042,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
71699419,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
74822398,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
48660123,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
67617673,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
77609791,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
82698201,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
86874578,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
89786878,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
52237217,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
73791952,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
86684952,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
93696983,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
97873360,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
102049737,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
104751358,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
55545330,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
79181455,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
94933326,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
103479721,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
108872143,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
113048520,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
117224897,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
119715838,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
58289442,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
